method,mask_frac,targeted_mask_k_mean,random_mask_k_mean,abs_diff
input_gradients,0.02,1.02085,1.02085,0.0
input_gradients,0.05,1.96905,1.96905,0.0
input_gradients,0.1,3.93195,3.93195,0.0
input_gradients,0.2,7.86075,7.86075,0.0
integrated_gradients,0.02,1.02085,1.02085,0.0
integrated_gradients,0.05,1.96905,1.96905,0.0
integrated_gradients,0.1,3.93195,3.93195,0.0
integrated_gradients,0.2,7.86075,7.86075,0.0
smoothgrad,0.02,1.02085,1.02085,0.0
smoothgrad,0.05,1.96905,1.96905,0.0
smoothgrad,0.1,3.93195,3.93195,0.0
smoothgrad,0.2,7.86075,7.86075,0.0
