method,mask_frac,targeted_prob_drop,random_prob_drop,gap_prob_drop_target_minus_rand,targeted_auc_drop,random_auc_drop,gap_auc_drop_target_minus_rand,targeted_acc_drop,random_acc_drop,gap_acc_drop_target_minus_rand,targeted_mask_k_mean,random_mask_k_mean
input_gradients,0.02,0.1290053979806296,0.011097000172979784,0.11790839780764982,0.04675449861111125,0.0035559689814815463,0.0431985296296297,0.14044999999999996,0.012399999999999967,0.12805,1.02035,1.02035
input_gradients,0.05,0.17144455627229832,0.015598201122958786,0.15584635514933953,0.06396010000000019,0.0053317930555556075,0.058628306944444576,0.19165,0.017883333333333324,0.17376666666666665,1.9797,1.9797
input_gradients,0.1,0.24778979217986458,0.03056557737181038,0.2172242148080542,0.10230058333333336,0.010668401388888915,0.09163218194444445,0.2813,0.03469999999999999,0.2466,3.94285,3.94285
input_gradients,0.2,0.3424387058430626,0.06345968466344808,0.2789790211796145,0.16772832361111112,0.023500206018518693,0.14422811759259244,0.3887,0.07213333333333331,0.31656666666666666,7.894,7.894000000000001
integrated_gradients,0.02,0.18045409263993953,0.011097000172979784,0.16935709246695974,0.06322324027777793,0.0035559689814815463,0.05966727129629638,0.19079999999999997,0.012399999999999967,0.1784,1.02035,1.02035
integrated_gradients,0.05,0.2230725818609858,0.015598201122958786,0.20747438073802701,0.08467234861111128,0.0053317930555556075,0.07934055555555568,0.24585,0.017883333333333324,0.22796666666666668,1.9797,1.9797
integrated_gradients,0.1,0.29248746519975577,0.03056557737181038,0.2619218878279454,0.1294766847222224,0.010668401388888915,0.11880828333333349,0.32939999999999997,0.03469999999999999,0.29469999999999996,3.94285,3.94285
integrated_gradients,0.2,0.36611461001689755,0.06345968466344808,0.30265492535344946,0.18859436666666674,0.023500206018518693,0.16509416064814805,0.4194,0.07213333333333331,0.34726666666666667,7.894,7.894000000000001
smoothgrad,0.02,0.12185913943757351,0.011097000172979784,0.11076213926459373,0.04335164722222229,0.0035559689814815463,0.03979567824074074,0.12585000000000002,0.012399999999999967,0.11345000000000005,1.02035,1.02035
smoothgrad,0.05,0.16162446723801968,0.015598201122958786,0.1460262661150609,0.058880829166666704,0.0053317930555556075,0.053549036111111094,0.1734,0.017883333333333324,0.15551666666666666,1.9797,1.9797
smoothgrad,0.1,0.24144330392844127,0.03056557737181038,0.2108777265566309,0.0989253347222222,0.010668401388888915,0.08825693333333329,0.265,0.03469999999999999,0.23030000000000003,3.94285,3.94285
smoothgrad,0.2,0.34852170541007466,0.06345968466344808,0.28506202074662657,0.17003589722222223,0.023500206018518693,0.14653569120370355,0.3931,0.07213333333333331,0.3209666666666667,7.894,7.894000000000001
