epoch,train_loss,val_acc,val_auc_macro_ovr,val_signal_vs_bg_fpr50,val_target_vs_bg_ratio_fpr50,best_metric_so_far
1.0,1.364974875831604,0.56934,0.9188406197777776,0.0278,0.0094,0.9188406197777776
2.0,1.067494068851471,0.62806,0.9361488526666666,0.0168,0.0062,0.9361488526666666
3.0,1.0060505098088581,0.63988,0.9382851628888889,0.0156,0.0072,0.9382851628888889
4.0,0.9609940378379822,0.66624,0.9439195826666668,0.0152,0.0062,0.9439195826666668
5.0,0.9302268952115377,0.6592,0.9438125015555556,0.0138,0.0062,0.9439195826666668
6.0,0.9099570083745321,0.67122,0.9463323853333334,0.012,0.0042,0.9463323853333334
7.0,0.8937004763921101,0.66934,0.9471759455555555,0.0142,0.0036,0.9471759455555555
8.0,0.8813805414644877,0.6833,0.950054658888889,0.013,0.004,0.950054658888889
9.0,0.8691031961758932,0.67414,0.9485077502222221,0.0128,0.004,0.950054658888889
10.0,0.8568588881111145,0.67218,0.9498366502222222,0.0128,0.0038,0.950054658888889
11.0,0.8474728893915812,0.67216,0.9491204831111111,0.014,0.004,0.950054658888889
12.0,0.8371118397204081,0.6904,0.9520122433333332,0.0114,0.0034,0.9520122433333332
13.0,0.8271867854563395,0.69498,0.9525712135555555,0.0124,0.0036,0.9525712135555555
14.0,0.8168884075864156,0.69378,0.9523676446666667,0.0124,0.004,0.9525712135555555
15.0,0.8079878419176737,0.69794,0.9537585964444444,0.0104,0.0026,0.9537585964444444
16.0,0.796575058670044,0.69936,0.9530829031111112,0.0128,0.004,0.9537585964444444
17.0,0.7882426296742757,0.68776,0.9515144668888891,0.0122,0.0034,0.9537585964444444
18.0,0.7784267721748352,0.70088,0.9546009306666667,0.0126,0.003,0.9546009306666667
19.0,0.7658130673281351,0.7069,0.9553418753333334,0.011,0.0026,0.9553418753333334
20.0,0.7548324033927918,0.69994,0.954905409111111,0.012,0.0024,0.9553418753333334
21.0,0.7404268382517497,0.71718,0.957627165111111,0.0106,0.0024,0.957627165111111
22.0,0.7263450788434347,0.71922,0.9588152211111112,0.0116,0.002,0.9588152211111112
23.0,0.7095373029518127,0.72608,0.9597342711111111,0.0112,0.0016,0.9597342711111111
24.0,0.6962898970476786,0.72828,0.960542506888889,0.0104,0.0014,0.960542506888889
25.0,0.6854685762023925,0.7293,0.960929845777778,0.0106,0.0014,0.960929845777778
26.0,0.6773647081120809,0.72728,0.9609641835555556,0.0106,0.0014,0.9609641835555556
27.0,0.671963194770813,0.7292,0.9610472071111109,0.0108,0.0016,0.9610472071111109
28.0,0.6680716030947368,0.73132,0.9614304011111112,0.011,0.0014,0.9614304011111112
29.0,0.6649446012878418,0.73116,0.9615882493333334,0.0108,0.0014,0.9615882493333334
30.0,0.6628998705482483,0.7318,0.9615852146666667,0.0106,0.0014,0.9615882493333334
