method,mask_frac,targeted_prob_drop,random_prob_drop,gap_prob_drop_target_minus_rand,targeted_auc_drop,random_auc_drop,gap_auc_drop_target_minus_rand,targeted_acc_drop,random_acc_drop,gap_acc_drop_target_minus_rand,targeted_mask_k_mean,random_mask_k_mean
input_gradients,0.02,0.0969324342052109,0.010895804699788408,0.0860366295054225,0.0404086055555557,0.003907436574073997,0.0365011689814817,0.10240000000000005,0.011250000000000019,0.09115000000000002,1.02175,1.02175
input_gradients,0.05,0.1377288599731913,0.015529197984633251,0.12219966198855803,0.05700207083333331,0.005943738888888957,0.05105833194444435,0.15055000000000007,0.016616666666666686,0.13393333333333338,1.9712,1.9712000000000003
input_gradients,0.1,0.2251927340288795,0.03294790215430445,0.19224483187457503,0.09705136388888891,0.012358581944444466,0.08469278194444445,0.25195000000000006,0.0356666666666667,0.21628333333333336,3.9224,3.9224
input_gradients,0.2,0.3364422240639969,0.06797873158510952,0.26846349247888734,0.1625651444444446,0.02626143611111109,0.1363037083333335,0.38060000000000005,0.0763666666666667,0.30423333333333336,7.84855,7.84855
integrated_gradients,0.02,0.15421089265881094,0.010895804699788408,0.14331508795902254,0.05806017638888905,0.003907436574073997,0.054152739814815054,0.16125,0.011250000000000019,0.15,1.02175,1.02175
integrated_gradients,0.05,0.19811534959742033,0.015529197984633251,0.18258615161278707,0.07761906250000006,0.005943738888888957,0.0716753236111111,0.2139000000000001,0.016616666666666686,0.1972833333333334,1.9712,1.9712000000000003
integrated_gradients,0.1,0.28492686066027006,0.03294790215430445,0.25197895850596563,0.12345098194444448,0.012358581944444466,0.11109240000000002,0.31960000000000005,0.0356666666666667,0.28393333333333337,3.9224,3.9224
integrated_gradients,0.2,0.37459121983982885,0.06797873158510952,0.3066124882547193,0.18718706805555563,0.02626143611111109,0.16092563194444454,0.42690000000000006,0.0763666666666667,0.35053333333333336,7.84855,7.84855
smoothgrad,0.02,0.1080456103435034,0.010895804699788408,0.097149805643715,0.03890398472222234,0.003907436574073997,0.03499654814814834,0.1119,0.011250000000000019,0.10064999999999998,1.02175,1.02175
smoothgrad,0.05,0.14920161430473924,0.015529197984633251,0.13367241632010599,0.0547284597222224,0.005943738888888957,0.04878472083333344,0.15925,0.016616666666666686,0.1426333333333333,1.9712,1.9712000000000003
smoothgrad,0.1,0.22817563019211856,0.03294790215430445,0.1952277280378141,0.09380984166666684,0.012358581944444466,0.08145125972222238,0.25015000000000004,0.0356666666666667,0.21448333333333333,3.9224,3.9224
smoothgrad,0.2,0.33641902204515106,0.06797873158510952,0.26844029046004153,0.16190847916666662,0.02626143611111109,0.13564704305555553,0.37800000000000006,0.0763666666666667,0.30163333333333336,7.84855,7.84855
