epoch,train_loss,val_acc,val_auc_macro_ovr,val_signal_vs_bg_fpr50,val_target_vs_bg_ratio_fpr50,best_metric_so_far
1.0,1.3651152095031738,0.58228,0.9195404771111111,0.0238,0.0084,0.9195404771111111
2.0,1.0815260755411784,0.641,0.9362528122222222,0.0172,0.0062,0.9362528122222222
3.0,1.008964638303121,0.6432,0.9393734348888889,0.0164,0.0056,0.9393734348888889
4.0,0.966394115371704,0.65828,0.9432769488888887,0.0128,0.0052,0.9432769488888887
5.0,0.9362472942352295,0.67744,0.947209318,0.013,0.006,0.947209318
6.0,0.9188038307571411,0.67178,0.945410406,0.0132,0.005,0.947209318
7.0,0.9002375166956583,0.6764,0.9472842988888888,0.0132,0.0048,0.9472842988888888
8.0,0.8881817400042216,0.67686,0.9486097893333334,0.0118,0.0044,0.9486097893333334
9.0,0.8787972589238485,0.67388,0.9477145751111111,0.014,0.0054,0.9486097893333334
10.0,0.8670484870465597,0.66982,0.9469899908888889,0.0134,0.0038,0.9486097893333334
11.0,0.8556110952949524,0.66648,0.9449155837777777,0.0162,0.0062,0.9486097893333334
12.0,0.8455318029212952,0.6978,0.9520516473333334,0.0112,0.0036,0.9520516473333334
13.0,0.8345150312105815,0.69474,0.9519842633333333,0.0136,0.0044,0.9520516473333334
14.0,0.8265042575581868,0.69874,0.952994994888889,0.0122,0.003,0.952994994888889
15.0,0.8150844971847534,0.6996,0.9533400175555556,0.0116,0.0028,0.9533400175555556
16.0,0.8041164441808065,0.70364,0.9540089559999998,0.0118,0.0036,0.9540089559999998
17.0,0.7953228629175821,0.69934,0.9529584755555556,0.0132,0.003,0.9540089559999998
18.0,0.783381469637553,0.70752,0.9552639344444446,0.0126,0.0028,0.9552639344444446
19.0,0.765847302163442,0.71902,0.9575807339999999,0.0094,0.0022,0.9575807339999999
20.0,0.747163741346995,0.72294,0.9591514986666667,0.012,0.0016,0.9591514986666667
21.0,0.7260013150978089,0.73132,0.9607640586666667,0.0106,0.0016,0.9607640586666667
22.0,0.7089402237637837,0.73044,0.9611111526666665,0.011,0.0012,0.9611111526666665
23.0,0.6945380155309041,0.73688,0.9622024342222222,0.01,0.001,0.9622024342222222
24.0,0.6836710077857971,0.73622,0.9624609637777777,0.0094,0.0012,0.9624609637777777
25.0,0.671599758904775,0.74138,0.9630173786666667,0.0102,0.0012,0.9630173786666667
26.0,0.6632194511858622,0.74036,0.9630967979999999,0.0094,0.0014,0.9630967979999999
27.0,0.6578443469874065,0.74202,0.9633056477777778,0.01,0.0012,0.9633056477777778
28.0,0.6539467116864522,0.74232,0.9635433775555555,0.0102,0.0012,0.9635433775555555
29.0,0.6509013494300843,0.7409,0.9633410615555557,0.0098,0.0014,0.9635433775555555
30.0,0.6483071022542318,0.7412,0.9634194177777777,0.0098,0.0014,0.9635433775555555
