metric,n,mean,std,min,max
acc,5,0.7459213333333334,0.007338898494400308,0.7368733333333334,0.75514
auc_macro_ovr,5,0.9650545395061728,0.001937316021494536,0.9627633469382715,0.9674092450864198
signal_vs_bg_auc,5,0.9573057988641975,0.001464319580358571,0.9552123138271607,0.9587377466666667
signal_vs_bg_fpr50,5,0.007853333333333334,0.0004975495508545409,0.007266666666666667,0.0084
target_vs_bg_ratio_auc,5,0.9910094857777778,0.0023281203396188863,0.9876538622222223,0.9934394600000002
target_vs_bg_ratio_fpr50,5,0.0007466666666666666,0.0003279566366999692,0.0003333333333333333,0.0010666666666666667
mean_entropy,5,0.606846010684967,0.023196401106240935,0.5840703845024109,0.6380888223648071
mean_confidence,5,0.7824965715408325,0.00850348768790116,0.771141767501831,0.7910087704658508
best_epoch,5,28.8,1.3038404810405297,27.0,30.0
best_val_metric_seen,5,0.9648119718666667,0.002285743986049673,0.9615882493333334,0.967284206888889
val_metric_reloaded,5,0.9648119718666667,0.002285743986049673,0.9615882493333334,0.967284206888889
trainer_posthoc_metric_abs_diff,5,0.0,0.0,0.0,0.0
