run_name,a_source,a_source_label,lambda_rrr,mask_frac,best_iteration,jetclass_test_acc,jetclass_test_auc,aspen_strong3
rrr_findanother_seed52_smoothgrad_lam10_mask0p05,smoothgrad,SmoothGrad,10.0,0.05,5,0.6936666666666667,0.9524904897283951,0.47011492159321394
rrr_findanother_seed52_input_grad_lam10_mask0p05,input_grad,Input gradients,10.0,0.05,1,0.7029066666666667,0.9540152656790125,0.4917560486549845
rrr_findanother_seed52_integrated_gradients_lam10_mask0p05,integrated_gradients,Integrated Gradients,10.0,0.05,1,0.7029066666666667,0.9540152656790125,0.4917560486549845
rrr_findanother_seed52_smoothgrad_lam10_mask0p10,smoothgrad,SmoothGrad,10.0,0.1,3,0.69222,0.9525611002962963,0.5003613915898818
rrr_findanother_seed52_input_grad_lam1_mask0p30,input_grad,Input gradients,1.0,0.3,3,0.71176,0.9562724232839507,0.5112851855463107
rrr_findanother_seed52_input_grad_lam10_mask0p10,input_grad,Input gradients,10.0,0.1,1,0.70362,0.9542800983703703,0.517416488137863
rrr_findanother_seed52_integrated_gradients_lam10_mask0p10,integrated_gradients,Integrated Gradients,10.0,0.1,1,0.70362,0.9542800983703703,0.517416488137863
rrr_findanother_seed52_smoothgrad_lam1_mask0p10,smoothgrad,SmoothGrad,1.0,0.1,5,0.7037733333333334,0.9543800655802469,0.5323308294351118
rrr_findanother_seed52_smoothgrad_lam10_mask0p30,smoothgrad,SmoothGrad,10.0,0.3,1,0.7031266666666667,0.9540030579012345,0.5372981252296143
rrr_findanother_seed52_integrated_gradients_lam10_mask0p30,integrated_gradients,Integrated Gradients,10.0,0.3,1,0.7031266666666667,0.9540030579012345,0.5372981252296143
rrr_findanother_seed52_input_grad_lam10_mask0p30,input_grad,Input gradients,10.0,0.3,1,0.7031266666666667,0.9540030579012345,0.5372981252296143
rrr_findanother_seed52_smoothgrad_lam10_mask0p20,smoothgrad,SmoothGrad,10.0,0.2,5,0.69728,0.9531041542222223,0.5410332261427299
rrr_findanother_seed52_integrated_gradients_lam10_mask0p20,integrated_gradients,Integrated Gradients,10.0,0.2,1,0.7017933333333334,0.9538260276543209,0.5674927198596061
rrr_findanother_seed52_input_grad_lam10_mask0p20,input_grad,Input gradients,10.0,0.2,1,0.7017933333333334,0.9538260276543209,0.5674927198596061
rrr_findanother_seed52_input_grad_lam1_mask0p05,input_grad,Input gradients,1.0,0.05,5,0.7022066666666666,0.9536340781728395,0.5692277253129604
rrr_findanother_seed52_smoothgrad_lam1_mask0p05,smoothgrad,SmoothGrad,1.0,0.05,5,0.7015733333333334,0.9538039068641975,0.5720740668131955
rrr_findanother_seed52_input_grad_lam1_mask0p20,input_grad,Input gradients,1.0,0.2,5,0.7055333333333333,0.9543187671851852,0.5803699483140988
rrr_findanother_seed52_integrated_gradients_lam1_mask0p20,integrated_gradients,Integrated Gradients,1.0,0.2,5,0.7052866666666666,0.954185006,0.5822698765232797
rrr_findanother_seed52_integrated_gradients_lam1_mask0p10,integrated_gradients,Integrated Gradients,1.0,0.1,1,0.7093266666666667,0.9551590152592592,0.585228511885249
rrr_findanother_seed52_input_grad_lam1_mask0p10,input_grad,Input gradients,1.0,0.1,1,0.7093266666666667,0.9551590152592592,0.585228511885249
rrr_findanother_seed52_integrated_gradients_lam1_mask0p05,integrated_gradients,Integrated Gradients,1.0,0.05,1,0.71116,0.9555323049629629,0.6076376695134552
rrr_findanother_seed52_integrated_gradients_lam1_mask0p30,integrated_gradients,Integrated Gradients,1.0,0.3,3,0.70726,0.9549348447901235,0.6084969996047059
rrr_findanother_seed52_smoothgrad_lam1_mask0p20,smoothgrad,SmoothGrad,1.0,0.2,1,0.7102266666666667,0.9552571137777777,0.6140445240227984
rrr_findanother_seed52_smoothgrad_lam1_mask0p30,smoothgrad,SmoothGrad,1.0,0.3,3,0.7044933333333333,0.9543290234567902,0.6171039890505128
