run_name,a_source,a_source_label,lambda_rrr,mask_frac,iteration,jetclass_test_acc,jetclass_test_auc,aspen_strong3
rrr_findanother_seed52_input_grad_lam10_mask0p05,input_grad,Input gradients,10.0,0.05,1,0.7029066666666667,0.9540152656790124,0.4917560486549845
rrr_findanother_seed52_input_grad_lam10_mask0p05,input_grad,Input gradients,10.0,0.05,2,0.68576,0.9509737745185186,0.6597072519387488
rrr_findanother_seed52_input_grad_lam10_mask0p05,input_grad,Input gradients,10.0,0.05,3,0.6893733333333333,0.9524215624691358,0.693729115699877
rrr_findanother_seed52_input_grad_lam10_mask0p05,input_grad,Input gradients,10.0,0.05,4,0.6913133333333333,0.95239769254321,0.5980378137476814
rrr_findanother_seed52_input_grad_lam10_mask0p05,input_grad,Input gradients,10.0,0.05,5,0.69076,0.9521138931604938,0.7446876425299968
rrr_findanother_seed52_input_grad_lam10_mask0p10,input_grad,Input gradients,10.0,0.1,1,0.70362,0.9542800983703704,0.517416488137863
rrr_findanother_seed52_input_grad_lam10_mask0p10,input_grad,Input gradients,10.0,0.1,2,0.6843066666666666,0.9511019375308642,0.6547618042181006
rrr_findanother_seed52_input_grad_lam10_mask0p10,input_grad,Input gradients,10.0,0.1,3,0.6906333333333333,0.95250133745679,0.7055741783060694
rrr_findanother_seed52_input_grad_lam10_mask0p10,input_grad,Input gradients,10.0,0.1,4,0.69148,0.9525064251851852,0.7058457309889709
rrr_findanother_seed52_input_grad_lam10_mask0p10,input_grad,Input gradients,10.0,0.1,5,0.6932466666666667,0.952505618617284,0.6989586087234044
rrr_findanother_seed52_input_grad_lam10_mask0p20,input_grad,Input gradients,10.0,0.2,1,0.7017933333333334,0.9538260276543208,0.5674927198596061
rrr_findanother_seed52_input_grad_lam10_mask0p20,input_grad,Input gradients,10.0,0.2,2,0.6883666666666667,0.9517104807160496,0.6614336326009794
rrr_findanother_seed52_input_grad_lam10_mask0p20,input_grad,Input gradients,10.0,0.2,3,0.69282,0.9528552677530864,0.632694702630519
rrr_findanother_seed52_input_grad_lam10_mask0p20,input_grad,Input gradients,10.0,0.2,4,0.6924066666666666,0.9528120536296296,0.7175556506063315
rrr_findanother_seed52_input_grad_lam10_mask0p20,input_grad,Input gradients,10.0,0.2,5,0.6958666666666666,0.9528096302469136,0.6349291867514054
rrr_findanother_seed52_input_grad_lam10_mask0p30,input_grad,Input gradients,10.0,0.3,1,0.7031266666666667,0.9540030579012344,0.5372981252296143
rrr_findanother_seed52_input_grad_lam10_mask0p30,input_grad,Input gradients,10.0,0.3,2,0.6905733333333334,0.9523785178024692,0.6806207539611061
rrr_findanother_seed52_input_grad_lam10_mask0p30,input_grad,Input gradients,10.0,0.3,3,0.6937266666666667,0.9531486057777778,0.655789116944993
rrr_findanother_seed52_input_grad_lam10_mask0p30,input_grad,Input gradients,10.0,0.3,4,0.6942066666666666,0.952987432617284,0.6849512315435131
rrr_findanother_seed52_input_grad_lam10_mask0p30,input_grad,Input gradients,10.0,0.3,5,0.69722,0.9528560607407408,0.6659950820152637
rrr_findanother_seed52_input_grad_lam1_mask0p05,input_grad,Input gradients,1.0,0.05,1,0.71116,0.9555323049629628,0.6076376695134552
rrr_findanother_seed52_input_grad_lam1_mask0p05,input_grad,Input gradients,1.0,0.05,2,0.6959066666666667,0.9526814761728394,0.668812148733779
rrr_findanother_seed52_input_grad_lam1_mask0p05,input_grad,Input gradients,1.0,0.05,3,0.7044933333333333,0.954604202691358,0.7012507477558018
rrr_findanother_seed52_input_grad_lam1_mask0p05,input_grad,Input gradients,1.0,0.05,4,0.6999066666666667,0.9535895731358024,0.6472788384516238
rrr_findanother_seed52_input_grad_lam1_mask0p05,input_grad,Input gradients,1.0,0.05,5,0.7022066666666666,0.9536340781728396,0.5692277253129604
rrr_findanother_seed52_input_grad_lam1_mask0p10,input_grad,Input gradients,1.0,0.1,1,0.7093266666666667,0.9551590152592592,0.585228511885249
rrr_findanother_seed52_input_grad_lam1_mask0p10,input_grad,Input gradients,1.0,0.1,2,0.6976933333333334,0.9529827902962962,0.7274797617229578
rrr_findanother_seed52_input_grad_lam1_mask0p10,input_grad,Input gradients,1.0,0.1,3,0.7071666666666667,0.955244113654321,0.6421022429219715
rrr_findanother_seed52_input_grad_lam1_mask0p10,input_grad,Input gradients,1.0,0.1,4,0.70096,0.953724818839506,0.6751518715464663
rrr_findanother_seed52_input_grad_lam1_mask0p10,input_grad,Input gradients,1.0,0.1,5,0.7026133333333333,0.9538583093580248,0.6866750750831513
rrr_findanother_seed52_input_grad_lam1_mask0p20,input_grad,Input gradients,1.0,0.2,1,0.7102266666666667,0.9552571137777776,0.6140445240227984
rrr_findanother_seed52_input_grad_lam1_mask0p20,input_grad,Input gradients,1.0,0.2,2,0.70002,0.9535483574320986,0.6249643839599102
rrr_findanother_seed52_input_grad_lam1_mask0p20,input_grad,Input gradients,1.0,0.2,3,0.7109733333333333,0.9561212361234568,0.6185656000164445
rrr_findanother_seed52_input_grad_lam1_mask0p20,input_grad,Input gradients,1.0,0.2,4,0.7042466666666667,0.9542521678024692,0.7021841564597109
rrr_findanother_seed52_input_grad_lam1_mask0p20,input_grad,Input gradients,1.0,0.2,5,0.7055333333333333,0.9543187671851852,0.5803699483140988
